transaction_id;account_id;amount;transactions_today;country_change;failed_attempts;hour
1;148;206.84;4;N;0;21
2;182;49.12;4;N;0;21
3;425;272.56;4;N;0;8
4;183;161.48;5;N;1;19
5;450;185.23;5;N;1;19
6;127;271.95;4;N;1;11
7;404;207.32;1;N;0;8
8;410;157.92;1;N;1;13
9;382;160.54;5;N;1;21
10;248;89.65;5;N;1;14
11;961;677.44;21;Y;9;1
12;235;146.93;2;N;1;8
13;453;200.23;4;N;0;12
14;402;105.7;3;N;1;19
15;309;52.44;2;N;1;20
16;416;264.93;1;N;0;14
17;205;216.33;4;N;0;15
18;322;74.62;2;N;1;8
19;398;217.76;4;N;0;20
20;396;280.39;2;N;1;21
21;233;154.51;5;N;1;12
22;109;236.8;3;N;0;8
23;105;217.47;5;N;0;8
24;383;299.8;2;N;0;14
25;448;222.98;2;N;1;17
26;384;242.97;3;N;1;15
27;128;229.24;2;N;1;20
28;145;290.53;3;N;1;16
29;350;79.02;2;N;0;21
30;161;233.01;3;N;0;11
31;210;247.98;5;N;0;9
32;259;257.86;5;N;1;12
33;411;26.7;2;N;0;18
34;139;287.32;5;N;0;20
35;911;892.03;16;Y;5;0
36;232;142.16;3;N;0;14
37;232;75.32;1;N;1;8
38;363;179.22;5;N;0;21
39;106;25.86;4;N;1;13
40;266;135.78;5;N;0;10
41;102;87.73;3;N;1;12
42;413;95.68;3;N;0;13
43;231;156.87;5;N;1;18
44;958;572.08;14;Y;5;3
45;192;167.96;3;N;1;20
46;152;23.48;2;N;0;8
47;408;62.63;4;N;1;10
48;278;7.12;4;N;0;9
49;338;142.57;1;N;0;10
50;288;96.1;2;N;1;14
51;357;34.22;4;N;0;13
52;476;82.97;5;N;1;18
53;167;176.75;3;N;1;18
54;418;73.24;5;N;1;10
55;402;93.28;2;N;0;20
56;106;156.72;5;N;0;9
57;111;242.92;4;N;0;20
58;227;97.46;1;N;1;13
59;258;201.98;5;N;1;13
60;996;917.96;15;Y;7;3
61;926;948.73;22;Y;3;4
62;943;809.65;11;Y;6;0
63;176;35.69;5;N;0;12
64;339;258.9;2;N;0;14
65;145;32.41;1;N;0;14
66;356;77.73;4;N;0;9
67;201;37.79;3;N;1;14
68;320;42.72;3;N;0;12
69;234;128.51;5;N;1;14
70;261;157.78;2;N;0;16
71;487;87.89;4;N;1;13
72;273;130.21;4;N;0;16
73;161;132.18;1;N;0;13
74;104;59.7;5;N;0;21
75;979;853.06;19;Y;4;0
76;905;971.35;21;Y;4;2
77;219;264.03;4;N;1;9
78;948;980.64;14;Y;9;2
79;251;205.75;2;N;0;18
80;395;297.09;4;N;0;20
81;196;273.34;3;N;1;21
82;157;17.61;2;N;1;18
83;321;130.25;5;N;0;15
84;979;470.76;10;Y;3;3
85;953;562.48;22;Y;3;0
86;211;252.61;4;N;0;12
87;417;124.73;1;N;1;18
88;902;888.52;13;Y;3;0
89;288;141.78;1;N;0;11
90;966;502.67;24;Y;9;0
91;472;203.64;4;N;0;10
92;123;140.94;4;N;0;14
93;280;39.28;2;N;0;16
94;298;106.14;4;N;1;21
95;990;883.02;14;Y;7;4
96;267;67.76;1;N;0;16
97;250;218.64;2;N;1;17
98;358;50.96;3;N;0;9
99;970;482.69;19;Y;4;0
100;421;43.89;5;N;1;17
